                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.79522,                 2.1294,                 1.2963,                 1.2045,                0.49693,                0.45031,                0.46934,                0.30293,                0.53931,                0.41165,                0.43617,                0.24547,                 1.2144,                 1.2987,                 1.5784,                 1.9713,               0.009274,               0.009274,               0.009274
                     24,                0.78639,                 2.1473,                 1.2702,                 1.2005,                0.60877,                0.54686,                0.58403,                0.35575,                0.56794,                0.49878,                0.55318,                0.32587,                  1.197,                 1.0281,                 1.4915,                 1.9879,               0.009241,               0.009241,               0.009241
                     25,                0.77778,                 2.0996,                 1.2583,                 1.1946,                0.52557,                0.48334,                0.53649,                0.32035,                0.52582,                0.38162,                 0.4424,                0.23316,                 1.4608,                 1.2832,                  1.718,                 2.2363,               0.009208,               0.009208,               0.009208
                     26,                0.80345,                 2.0384,                 1.2805,                 1.2106,                0.36352,                 0.6148,                0.52618,                0.35911,                0.34839,                0.59156,                0.52013,                0.34028,                 1.3761,                 1.0951,                 1.7112,                 2.1715,               0.009175,               0.009175,               0.009175
                     27,                0.79344,                 2.0785,                 1.2686,                 1.1993,                0.34559,                0.68244,                0.54923,                0.36048,                0.47375,                0.47614,                0.53529,                 0.3324,                  1.233,                 1.0643,                 1.4199,                 2.0254,               0.009142,               0.009142,               0.009142
                     28,                0.77837,                 2.0393,                 1.2689,                 1.1965,                0.42231,                 0.4684,                0.49698,                0.32153,                0.31844,                0.49738,                  0.463,                0.27988,                 1.2861,                0.94299,                  1.391,                 2.1291,               0.009109,               0.009109,               0.009109
                     29,                0.76886,                 2.0188,                 1.2556,                 1.1896,                0.36187,                0.65126,                0.55293,                0.33015,                0.45075,                0.48158,                0.55372,                0.29889,                 1.2075,                 1.1693,                 1.4864,                 2.0382,               0.009076,               0.009076,               0.009076
                     30,                0.77871,                 2.0419,                 1.2199,                 1.1882,                  0.439,                0.58244,                 0.5628,                0.36007,                0.44747,                0.55487,                0.55009,                0.31265,                 1.2232,                0.98816,                 1.4492,                 2.0006,               0.009043,               0.009043,               0.009043
                     31,                0.77896,                 2.1245,                 1.2259,                 1.1933,                0.36961,                0.59126,                0.53291,                0.36257,                0.33288,                0.56677,                0.50123,                0.30915,                 1.0999,                 1.0683,                 1.4143,                 1.9283,                0.00901,                0.00901,                0.00901
                     32,                0.76947,                 2.0719,                 1.1982,                 1.1836,                0.48178,                0.51445,                 0.5587,                0.36468,                0.44312,                 0.5058,                0.51316,                0.33654,                  1.109,                 1.0427,                 1.4164,                  1.863,               0.008977,               0.008977,               0.008977
                     33,                0.76213,                 2.0319,                   1.21,                 1.1813,                0.46111,                 0.5415,                0.53896,                0.35052,                0.44798,                0.50697,                0.50365,                0.34113,                 1.3127,                 1.0434,                 1.5422,                 2.1328,               0.008944,               0.008944,               0.008944
                     34,                0.76566,                 2.0185,                 1.2147,                 1.1838,                0.33052,                0.63756,                0.53232,                0.32651,                0.31593,                0.58054,                0.51028,                0.30337,                 1.3286,                 1.1895,                  1.769,                 2.1158,               0.008911,               0.008911,               0.008911
                     35,                0.76565,                 2.0499,                 1.1939,                 1.1803,                0.37756,                0.63257,                0.52127,                0.34111,                0.34687,                0.59105,                0.49277,                0.30979,                 1.1737,                 1.0007,                 1.4298,                 1.9043,               0.008878,               0.008878,               0.008878
                     36,                0.74902,                 1.9484,                 1.1745,                 1.1743,                0.48335,                0.59087,                0.64012,                0.41467,                0.44962,                0.54574,                0.58278,                0.35472,                 1.1188,                0.89915,                  1.233,                 1.8984,               0.008845,               0.008845,               0.008845
                     37,                0.73852,                 1.9873,                 1.1672,                 1.1661,                0.59923,                0.64613,                0.73973,                0.46882,                0.56126,                0.60562,                0.69831,                0.45502,                 1.2276,                0.89455,                 1.3462,                 2.0827,               0.008812,               0.008812,               0.008812
                     38,                0.76362,                 2.1164,                 1.1842,                 1.1824,                0.60662,                0.57564,                0.71432,                0.50772,                0.54992,                0.53124,                0.66303,                 0.4755,                 1.0282,                0.93629,                 1.2259,                 1.7668,               0.008779,               0.008779,               0.008779
                     39,                 0.7541,                 2.0168,                 1.1713,                 1.1784,                0.67838,                0.36734,                0.51668,                0.34617,                0.67874,                0.32946,                0.48227,                0.30056,                 1.1417,                 1.0398,                 1.4627,                  1.895,               0.008746,               0.008746,               0.008746
                     40,                0.74997,                 1.9771,                 1.1566,                 1.1698,                0.82948,                0.47933,                0.66147,                0.43637,                0.58079,                0.53163,                0.61253,                0.38249,                 1.1211,                0.88787,                 1.2549,                 1.9006,               0.008713,               0.008713,               0.008713
                     41,                0.74448,                 2.0593,                 1.1416,                  1.164,                0.59762,                0.57211,                0.57602,                0.36832,                0.61493,                0.48992,                0.54297,                0.34465,                 1.2189,                0.94922,                 1.4104,                 1.9852,                0.00868,                0.00868,                0.00868
                     42,                 0.7407,                 1.9935,                 1.1327,                 1.1563,                0.59281,                0.70677,                0.69229,                0.46765,                0.55688,                0.67157,                0.66432,                0.41048,                 1.0141,                  1.002,                 1.2086,                 1.7495,               0.008647,               0.008647,               0.008647
                     43,                0.72976,                 1.9707,                  1.113,                 1.1492,                 0.5603,                 0.6081,                0.64933,                0.43767,                 0.5141,                0.54876,                0.58993,                0.40054,                 1.0405,                0.92178,                 1.1901,                 1.7912,               0.008614,               0.008614,               0.008614
                     44,                0.73174,                 2.0076,                 1.1151,                 1.1556,                0.75435,                0.59371,                0.73127,                 0.4933,                0.67159,                0.57217,                0.67862,                0.43293,                 1.0486,                0.99686,                  1.101,                 1.8124,               0.008581,               0.008581,               0.008581
                     45,                0.72504,                 1.9897,                 1.1208,                 1.1559,                0.45812,                0.54672,                0.55191,                0.38392,                0.53389,                0.44506,                0.51859,                0.33668,                 1.0935,                0.93945,                 1.2781,                 1.8738,               0.008548,               0.008548,               0.008548
                     46,                0.73147,                 1.9399,                 1.1015,                 1.1549,                0.55686,                0.64106,                0.66634,                0.47666,                0.53106,                0.58565,                0.61961,                0.42065,                 1.0315,                 0.9254,                 1.1668,                   1.83,               0.008515,               0.008515,               0.008515
