                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.65829,                 1.7626,                 1.2205,                 1.0692,                0.83666,                0.62785,                0.77315,                0.55425,                0.83199,                0.62978,                0.78246,                0.55342,                 1.0025,                 1.2023,                 1.2203,                 1.7695,               0.009274,               0.009274,               0.009274
                     24,                0.65931,                 1.7778,                 1.2015,                 1.0735,                0.71325,                0.68419,                0.75645,                0.55964,                0.71325,                0.68419,                0.76533,                0.56673,                 0.9084,                 1.1268,                 1.2962,                 1.6606,               0.009241,               0.009241,               0.009241
                     25,                0.65553,                 1.7835,                 1.1994,                 1.0767,                0.54323,                  0.843,                0.79907,                0.59488,                0.54911,                0.84948,                0.79944,                0.59551,                 1.0009,                 1.2295,                 1.3193,                  1.714,               0.009208,               0.009208,               0.009208
                     26,                0.66052,                 1.7694,                 1.2063,                 1.0811,                0.67666,                0.77952,                0.82458,                0.59682,                 0.6522,                0.78945,                0.81539,                0.56234,                 0.9481,                 1.4364,                 1.1674,                 1.7038,               0.009175,               0.009175,               0.009175
                     27,                0.64629,                 1.7538,                 1.1682,                 1.0723,                 0.7132,                0.74348,                0.85122,                0.63147,                0.84938,                0.68844,                0.87151,                0.60209,                0.95842,                 1.3134,                 1.0975,                 1.6714,               0.009142,               0.009142,               0.009142
                     28,                0.63826,                 1.7334,                  1.122,                 1.0711,                0.70828,                0.78138,                0.83515,                0.64773,                0.71045,                0.80256,                0.85253,                0.63958,                0.90841,                 1.1377,                 1.0963,                 1.6922,               0.009109,               0.009109,               0.009109
                     29,                0.62891,                 1.7115,                 1.1411,                  1.055,                0.51512,                0.76672,                0.70832,                0.52903,                0.52302,                0.78798,                0.74267,                 0.5201,                 1.0375,                 1.4466,                 1.3364,                 1.8133,               0.009076,               0.009076,               0.009076
                     30,                0.64017,                 1.7133,                 1.1254,                 1.0635,                0.68134,                0.66554,                0.77906,                0.59137,                0.69594,                0.66893,                0.78773,                0.57248,                0.88877,                 1.2651,                 1.1048,                 1.6102,               0.009043,               0.009043,               0.009043
                     31,                 0.6388,                 1.7399,                 1.0944,                 1.0721,                0.76529,                0.68961,                0.82019,                0.64473,                 0.7732,                 0.6955,                0.82869,                 0.6159,                0.88153,                 1.2959,                 1.1097,                 1.5954,                0.00901,                0.00901,                0.00901
                     32,                0.63576,                 1.6409,                 1.0789,                 1.0584,                 0.7659,                0.77972,                0.85001,                0.63399,                0.77677,                0.78324,                0.84709,                0.63216,                0.91941,                 1.2297,                  1.186,                 1.6039,               0.008977,               0.008977,               0.008977
                     33,                0.62079,                  1.655,                 1.0563,                 1.0487,                0.70126,                0.77745,                0.79664,                0.60855,                0.73423,                0.76269,                0.81162,                0.59812,                0.91308,                 1.2366,                 1.1656,                 1.6253,               0.008944,               0.008944,               0.008944
                     34,                0.62208,                 1.6388,                  1.067,                 1.0564,                 0.7549,                0.68152,                0.76877,                0.61035,                0.76912,                0.69062,                0.77531,                0.54357,                0.81726,                 1.6934,                 1.1214,                 1.5239,               0.008911,               0.008911,               0.008911
                     35,                0.63075,                 1.6806,                 1.0293,                 1.0582,                0.65984,                0.71296,                0.75187,                0.51359,                0.63966,                0.69711,                0.73263,                0.50113,                  1.018,                  1.185,                 1.2888,                 1.7296,               0.008878,               0.008878,               0.008878
                     36,                0.61925,                 1.6389,                 1.0332,                 1.0485,                0.62651,                0.79629,                0.73678,                0.57219,                0.64673,                0.78916,                 0.7548,                0.55381,                0.86942,                    1.2,                 1.0938,                 1.6073,               0.008845,               0.008845,               0.008845
                     37,                0.61551,                 1.6621,                  1.032,                 1.0448,                0.59389,                0.80546,                0.77965,                0.59016,                0.60158,                0.81497,                0.79068,                0.55518,                0.96129,                 1.3501,                 1.1482,                 1.7219,               0.008812,               0.008812,               0.008812
